ETH_DOLLAR,ETH_BTC,Price_Diff,Volume,Num_of_Trades,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,transactionvalue,marketcap,tweets,google_trends,fee_to_reward,fear_gear_index,Open,High,Low,Close,SMA_7,SMA_30,SMA_100,EMA_200,EMA_8,EMA_50,RSI,macd,macd_signal,macd_hist,ENGULFING,BB_upper,BB_middle,DD_lower
295.71,0.041048,20.660000000000025,294944.4401,134032,656254.0,23748.0,208619.0,3427218779352100.0,277535220829300.0,0.0217,340086677.0,0.16,0.0488,0.245,518.224,29538043942.0,10518.0,3.901,1.6469999999999998,21,281.46,302.0,281.34,295.71,286.6928571428571,286.6928571428571,286.6928571428571,,287.16900600857525,,41.43277478925078,-29.831268828177826,-41.335991222658144,11.504722394480318,0,298.5181554309057,284.15800000000013,269.79784456909454
295.41,0.040489,10.459999999999981,153300.06112,76484,620267.0,23061.0,213620.0,3385920740765809.0,274833001808970.0,0.0223,270297744.0,0.158,0.0421,0.239,435.776,29957669123.0,11483.0,4.144,1.517,18,295.8,299.33,288.87,295.41,289.71,289.71,289.71,,289.00033800666966,,41.33797297966901,-27.0364171652771,-38.476076411181936,11.439659245904835,0,300.7657805792903,286.1000000000001,271.43421942070984
289.09,0.039799,10.629999999999997,274753.70062,115284,631429.0,25005.0,216319.0,3406537399008400.0,274893788521770.0,0.0218,520897234.0,0.171,0.0426,0.245,824.95,29500075579.0,13320.0,5.083,1.6980000000000002,19,295.51,296.62,285.99,289.09,289.90714285714284,289.90714285714284,289.90714285714284,,289.0202628940764,,39.29800380407762,-25.04277079502407,-35.78941528795036,10.746644492926293,0,301.2608566202539,286.8900000000001,272.5191433797463
285.3,0.038761,9.639999999999986,330102.19,128936,589521.0,23087.0,202952.0,3394753992666521.0,276767944583180.0,0.0218,842871523.0,0.224,0.058,0.241,1430.0,29261246816.0,13959.0,5.035,2.067,26,289.09,292.64,283.0,285.3,288.4585714285714,288.4585714285714,288.4585714285714,,288.19353780650385,,38.08426070779849,-23.497745624084814,-33.331081355177254,9.83333573109244,0,300.7124526249362,287.6650000000001,274.61754737506396
228.53,0.034106,60.62000000000001,528734.3196,218243,626957.0,25414.0,204346.0,3435482454953360.0,276990615172700.0,0.0198,656553596.0,0.153,0.0464,0.242,1047.0,26961681243.0,13310.0,6.784,1.673,17,285.18,287.62,227.0,228.53,279.9057142857143,279.9057142857143,279.9057142857143,,274.934973849503,,25.419681692626085,-26.548136209541724,-31.974492326050147,5.426356116508423,0,320.6882015340725,283.0890000000001,245.48979846592772
229.7,0.035278,21.19,552996.86567,241166,588959.0,23479.0,183003.0,3399787826872014.0,276911713204090.0,0.0172,688513206.0,0.196,0.0568,0.238,1169.0,23021677273.0,12656.0,6.75,2.248,14,228.28,233.19,212.0,229.7,272.1642857142857,272.1642857142857,272.1642857142857,,264.8827574385023,,25.966102829743487,-28.542167167269554,-31.28802729429403,2.745860127024475,0,326.3869432065484,277.2880000000001,228.1890567934519
215.22,0.033632,21.19,398379.81741,162430,582184.0,25113.0,193753.0,3399656455552748.0,272275291568140.0,0.017,573157700.0,0.194,0.0582,0.244,984.496,22689876937.0,11959.0,5.625,2.237,17,229.73,234.69,213.5,215.22,262.7085714285714,262.7085714285714,262.7085714285714,,253.84658911883514,,23.656093811322148,-30.934274986945013,-31.217276832824226,0.2830018458792125,-100,328.95245487880743,269.2660000000001,209.57954512119272
196.71,0.031833999999999994,30.19,318859.84904,111890,543337.0,25208.0,186430.0,3375919593398578.0,271225433331330.0,0.0162,449565576.0,0.158,0.055,0.243,827.416,21596143692.0,11787.0,5.88,1.864,18,215.19,220.2,190.01,196.71,248.56571428571425,248.56571428571425,248.56571428571425,,241.14956931464957,,21.07503580899546,-33.93248738142637,-31.760318942544654,-2.172168438881716,0,332.10738761178754,260.0970000000001,188.08661238821264
195.81,0.031362,23.579999999999984,429255.02592,144803,565631.0,22118.0,187563.0,3209593043515458.0,257735414220140.0,0.0158,430791423.0,0.151,0.0531,0.244,761.612,20098304383.0,13013.0,6.436,1.979,13,196.87,208.6,185.02,195.81,234.33714285714282,234.33714285714282,234.33714285714282,,231.07410946694966,,20.955314984867783,-35.966614045120565,-32.60157796305984,-3.365036082060726,0,330.67323694915757,251.28900000000007,171.90476305084258
197.15,0.03122,16.319999999999993,418489.86663,146713,561580.0,23525.0,181261.0,3220974992007100.0,260720920021680.0,0.0157,484772473.0,0.156,0.0495,0.24,863.23,19993520701.0,14458.0,6.4460000000000015,2.032,15,196.13,203.42,187.1,197.15,221.2028571428571,221.2028571428571,221.2028571428571,,223.53541847429418,,21.66879718724171,-37.04353249621869,-33.48996886969161,-3.5535636265270796,0,325.4908999128013,242.8630000000001,160.23510008719896
